basin_id,latitude,longitude,length_km_river,perc_agricul,perc_bog,perc_eff_lake,perc_lake,perc_glacier,perc_forest,perc_mountain,perc_urban,area_total,height_minimum,height_maximum,height_hypso_10,height_hypso_20,height_hypso_30,height_hypso_40,height_hypso_50,height_hypso_60,height_hypso_70,height_hypso_80,height_hypso_90,specific_runoff,annual_runoff,is_sk,mean_summer_prec,mean_fall_prec,mean_annual_prec,mean_wet_days,mean_summer_temp,mean_winter_temp,utm_east_z33,utm_north_z33
holmen,60.86629899883705,6.72607539273087,20.1,1.0,9.8,0.1,1.7,0.5,10.2,76.7,0.0,107.0,400.0,1604.0,803.0,908.0,988.0,1053.0,1138.0,1202.0,1272.0,1347.0,1434.0,68.3,2155.0,1.0,,,,,,,,
101X1X0,62.53123,6.61772,12.13,5.53,1.85,10.98,11.14,0.0,60.40999999999999,11.22,0.05,39.91,45.0,741.0,46.0,64.0,92.0,122.0,159.0,208.0,278.0,361.0,443.0,54.92,,0.0,412.680606060606,609.56696969697,5.75012696041822,0.513483903455974,13.0787450592885,0.775806451612903,69510.0,6961373.0
102X1X0,62.60018,6.34442,7.15,0.84,0.91,1.99,6.18,0.0,25.82,29.33,0.0,14.25,38.0,785.0,154.0,218.0,251.0,285.0,317.0,362.0,415.0,500.0,618.0,46.78999999999999,,0.0,367.23,582.962424242424,5.32230105385445,0.500937454175917,12.3541600790514,-0.35505376344086,56566.0,6970861.0
103X20X0,62.58323,7.95407,12.42,0.38,0.38,0.24,2.0,5.25,18.18,72.75,0.0,44.4,110.0,1724.0,330.0,574.0,742.0,851.0,912.0,1001.0,1114.0,1229.0,1348.0,68.69,,0.0,436.782727272727,545.70696969697,5.77884324952286,0.418768180438615,9.3488208168643,-6.57254704301075,138554.0,6958919.0
104X22X0,62.5095,8.07138,6.58,0.0,0.0,3.96,7.34,0.0,0.0,80.69999999999999,0.0,13.681,880.0,1575.0,914.0,932.0,980.0,1053.0,1132.0,1188.0,1233.0,1278.0,1352.0,56.96000000000001,,0.0,343.353333333333,450.65696969697,4.69611484524106,0.392034538144393,8.39796772068511,-7.72282594086022,143673.0,6950087.0
104X23X0,62.69773,7.96078,14.47,2.06,4.12,0.16,2.27,0.0,31.930000000000003,55.23,0.0,66.51,46.0,1516.0,254.0,454.0,575.0,655.0,737.0,792.0,860.0,946.0,1070.0,58.55,,0.0,378.265151515152,462.944242424242,4.8959737781097,0.431302125782775,10.4847101449275,-5.0203561827957,140290.0,6971583.0
109X21X0,62.25589,9.54368,18.55,0.0,2.51,0.03,1.03,0.96,0.48,87.52,0.04,135.96,989.0,2281.0,1073.0,1118.0,1173.0,1224.0,1263.0,1309.0,1383.0,1459.0,1542.0,17.07,,0.0,214.031212121212,149.654848484849,1.83762426354659,0.30328864881332,7.49298089591568,-9.27192204301075,216855.0,6914632.0
109X9X0,62.51138,9.59264,53.11,0.19,1.22,0.03,1.87,0.9000000000000001,6.79,83.98,0.1,745.99,556.0,2283.0,1026.0,1141.0,1230.0,1290.0,1347.0,1400.0,1462.0,1529.0,1617.0,19.4,,0.0,239.87303030303,165.095757575758,2.11883080242304,0.317068895550077,7.23642951251647,-9.58408266129032,221773.0,6942810.0
111X10X0,62.78271,8.89333,9.44,0.0,0.89,0.32,2.94,0.0,5.32,85.11,0.0,24.79,217.0,1373.0,615.0,754.0,840.0,907.0,943.0,988.0,1043.0,1113.0,1216.0,70.83,,0.0,442.505757575758,505.952121212121,5.47734461870384,0.441257304856188,9.34360671936759,-6.66998991935484,188729.0,6976151.0
111X9X0,62.90028,8.6049,24.2,3.05,6.09,0.02,0.93,0.0,35.89,37.15,0.0,137.43,28.0,1421.0,147.0,289.0,409.0,509.0,577.0,632.0,701.0,787.0,910.0,61.06999999999999,,0.0,472.073636363636,553.525454545455,5.89621442203967,0.46475174571996,11.3269894598155,-3.96630712365591,175363.0,6990631.0
112X8X0,62.98495,9.4071,17.98,0.0,6.830000000000001,0.57,2.28,0.0,15.94,62.620000000000005,0.0,87.83,453.0,1587.0,594.0,657.0,722.0,776.0,810.0,864.0,934.0,1037.0,1164.0,41.2,,0.0,355.645757575758,352.103636363636,4.03010455563854,0.4167680053835129,9.76445322793149,-6.20003696236559,216824.0,6996240.0
114X1X0,63.22446,8.13032,7.88,1.71,13.52,0.01,0.43,0.0,39.1,42.08,0.0,16.46,30.0,891.0,46.0,60.0,81.0,159.0,212.0,286.0,375.0,463.0,586.0,46.98,,0.0,373.473636363636,604.41696969697,5.45273089370177,0.480942751297852,12.3920652173913,-0.872503360215054,155200.0,7029084.0
121X20X0,63.14046,9.81618,40.41,3.35,14.74,0.69,4.92,0.0,59.29,13.97,0.03,282.67,205.0,1226.0,286.0,336.0,377.0,418.0,460.0,509.0,552.0,627.0,746.0,22.73,,0.0,313.186060606061,277.221818181818,3.11915691643847,0.400569270099793,11.5410638998682,-4.31685819892473,238900.0,7011786.0
121X29X0,62.70466,9.91503,20.57,1.4199999999999997,15.4,0.02,0.56,0.0,29.59,46.77,0.0,94.57,582.0,1564.0,639.0,724.0,804.0,858.0,910.0,957.0,1017.0,1093.0,1184.0,25.75,,0.0,257.220303030303,189.242121212121,2.48480624014605,0.330269869038322,9.42840909090909,-6.97595430107527,240033.0,6962945.0
122X11X0,62.89011,11.18388,45.43,2.11,12.570000000000002,0.15,2.84,0.0,24.55,43.96,0.04,655.18,285.0,1284.0,623.0,717.0,775.0,811.0,844.0,878.0,918.0,964.0,1021.0,25.630000000000003,,0.0,279.020606060606,227.070909090909,2.61292091942577,0.414858995388321,9.82264163372859,-7.254915994623661,306061.0,6979097.0
122X14X0,62.82336,10.54863,29.76,0.59,8.33,0.02,0.59,0.0,21.41,64.84,0.0,168.11,516.0,1315.0,675.0,770.0,847.0,907.0,948.0,983.0,1015.0,1045.0,1088.0,28.950000000000003,,0.0,321.566060606061,225.288181818182,2.6222836279147,0.38680721090616,9.36168642951252,-7.649758064516129,273299.0,6973749.0
